measurement_id,case_id,sensor_position,asset_type,bearing_model,fault_origin,fixed_speed,sampling_rate,rpm,signal_length,unit,ftf_multiple,bpf_multiple,bpfo_multiple,bpfi_multiple,Bearing_health_state,mean,std,rms,peak,peak_to_peak,crest_factor,skewness,kurtosis,shape_factor,impulse_factor,p5,p25,p75,p95,iqr,fft_mean,fft_std,fft_peak,fft_peak_freq_norm,spectral_centroid,spectral_bandwidth,band_energy_low,band_energy_mid_low,band_energy_mid_high,band_energy_high
0,2,DS,Pump,BRG_G,DS,0,5120,1100.02,16384,m/s^2,0.419199,2.97983,4.21303,5.828,0,0.000576699,1.962,2.0076,8.17713,16.235,4.1653,0.0130383,0.0343396,1.24948,5.19947,-3.27949,-1.31982,1.34319,3.25992,2.74542,125.667,220.822,3145.98,0.431241,0.379847,0.133848,14479600.0,20833100.0,-3915340.0,465758000.0
1,2,FS,Pump,BRG_F,DS,0,5120,1106.88,16384,m/s^2,0.409199,2.73983,3.73303,5.308,0,0.000139816,2.26058,2.22558,6.78901,12.6612,2.95283,-0.063683,-0.789411,1.1851,3.50598,-3.67704,-1.76969,1.79002,3.55149,3.53784,108.565,267.35,11233.0,0.192628,0.31841,0.141002,40319400.0,505086000.0,-6899230.0,102754000.0
2,1,DS,Pump,BRG_K,DS,0,12800,2470.62,16384,m/s^2,0.390781,2.00655,4.88776,7.10268,0,-0.000795288,11.6101,11.6429,48.5895,92.963,4.18636,-0.0402756,0.170822,1.2591,5.27882,-19.0644,-7.68294,7.91123,18.8774,15.5984,967.713,1130.24,18783.3,0.329475,0.282024,0.126163,1992560000.0,1398600000.0,12787300000.0,1962600000.0
3,7,DS,Agitator,BRG_E,DS,1,5120,1162.91,16384,m/s^2,0.381794,2.02144,2.99262,4.84189,0,0.000140166,0.512237,0.508509,2.28967,4.19622,4.2533,0.0674731,-0.0435506,1.25486,5.33739,-0.791336,-0.356859,0.309315,0.866036,0.646805,32.3169,51.894,1833.4,0.0452887,0.199087,0.141422,18613800.0,11879100.0,-10219200.0,19925900.0
4,7,FS,Agitator,BRG_A,DS,1,5120,1163.56,16384,m/s^2,0.411794,2.59144,3.99262,5.84189,0,0.000593083,0.829299,0.813567,4.28942,8.10723,5.34848,0.0537845,0.318349,1.26735,6.75551,-1.293,-0.547988,0.514361,1.34312,1.04727,63.5467,79.2476,2416.66,0.0300204,0.264202,0.148248,39004600.0,4884450.0,16462800.0,14788200.0
5,3,DS,Engine,BRG_E,DS,1,5120,1164.05,16384,m/s^2,0.375214,1.98976,3.08749,4.91793,3,0.00033339,1.28536,1.31157,4.37094,9.15267,3.47077,0.1238,-0.194642,1.2495,4.35433,-2.10523,-0.896035,0.876257,2.21796,1.71505,71.3668,146.639,4044.83,0.162744,0.210777,0.12829,39717400.0,144152000.0,100405000.0,8826260.0
6,7,DS,Agitator,BRG_E,DS,1,5120,1159.94,16384,m/s^2,0.381794,2.02144,2.99262,4.84189,0,0.000274928,0.657324,0.639568,2.93678,5.10356,4.36464,0.118144,0.221782,1.26257,5.52666,-1.03656,-0.431966,0.387802,0.973915,0.807856,34.3256,68.8559,2767.36,0.00455007,0.186365,0.148858,43556100.0,9026080.0,-19681300.0,8211460.0
7,3,DS,Engine,BRG_E,DS,1,5120,1161.69,16384,m/s^2,0.375214,1.98976,3.08749,4.91793,3,0.000234865,2.34184,2.31697,7.04323,13.6734,2.98088,-0.103677,-0.49955,1.2225,3.652,-4.01228,-1.65259,1.66715,3.76137,3.44955,92.2083,281.773,10382.1,0.1625,0.231606,0.113423,41945700.0,440683000.0,189126000.0,3559350.0
8,2,DS,Pump,BRG_G,DS,0,5120,1099.13,16384,m/s^2,0.419199,2.97983,4.21303,5.828,0,0.000590062,1.97111,1.93903,8.11705,15.2562,4.2096,-0.0130142,-0.120713,1.25087,5.26955,-3.20146,-1.33614,1.29305,3.19481,2.62794,133.41,209.353,5629.27,0.192715,0.378773,0.120092,4936400.0,36437100.0,11257200.0,420837000.0
9,9,DS,Pump,BRG_H,FS,0,6400,1199.07,16384,m/s^2,0.405987,2.57593,5.67682,8.40286,0,-0.000121163,6.01574,5.97688,19.6529,39.004,3.27667,-0.00856726,-0.244586,1.2467,4.07864,-10.0266,-4.09733,4.0678,10.018,8.19633,353.923,674.064,9623.53,0.471786,0.404115,0.10908,16819900.0,58896400.0,233142000.0,4513920000.0
