date,year,month,day,hour,day_of_week,is_weekend,season,city,station,latitude,longitude,temperature,humidity,wind_speed,visibility,aqi,id
2026-05-14,2026,5,14,6,Tuesday,0,summer,Metropolis_Alpha,Monitoring_Station_01,38.6469,87.3164,33.8,47,11.3,3.7,302,0
2022-05-11,2022,5,11,23,Monday,0,summer,Metropolis_Alpha,Monitoring_Station_04,38.7762,87.051,37.4,33,17.3,4.9,215,1
2024-01-24,2024,1,24,6,Monday,0,winter,Metropolis_Epsilon,Monitoring_Station_22,38.6605,87.3573,8.3,100,2.4,2.9,500,2
2027-02-27,2027,2,27,23,Thursday,0,winter,Metropolis_Beta,Monitoring_Station_15,38.6246,87.3649,16.8,52,6.7,1.8,373,3
2026-07-15,2026,7,15,18,Monday,0,monsoon,Metropolis_Beta,Monitoring_Station_17,38.4744,87.504,34.7,94,11.1,9.4,52,4
2025-08-13,2025,8,13,18,Monday,0,monsoon,Metropolis_Alpha,Monitoring_Station_13,38.6089,87.0327,32.5,82,16.6,14.4,82,5
2025-03-26,2025,3,26,23,Monday,0,summer,Metropolis_Delta,Monitoring_Station_21,38.3722,87.3099,23.6,33,17.8,4.5,221,6
2023-09-12,2023,9,12,23,Sunday,1,monsoon,Metropolis_Alpha,Monitoring_Station_02,38.7299,87.1718,30.3,71,6.4,14.3,73,7
2025-10-06,2025,10,6,18,Saturday,1,post_monsoon,Metropolis_Delta,Monitoring_Station_20,38.4089,87.3178,28.9,31,5.8,4.7,346,8
2022-10-26,2022,10,26,12,Monday,0,post_monsoon,Metropolis_Epsilon,Monitoring_Station_23,38.7529,87.2782,31.3,34,11.6,1.0,500,9
2025-04-03,2025,4,3,18,Tuesday,0,summer,Metropolis_Alpha,Monitoring_Station_02,38.7299,87.1718,31.0,32,16.2,4.2,210,10
2026-09-01,2026,9,1,12,Sunday,1,monsoon,Metropolis_Alpha,Monitoring_Station_11,38.5535,87.2167,38.2,72,16.0,10.0,53,11
2025-03-27,2025,3,27,18,Tuesday,0,summer,Metropolis_Alpha,Monitoring_Station_05,38.6289,87.2414,24.4,24,11.4,5.0,331,12
2022-02-21,2022,2,21,12,Saturday,1,winter,Metropolis_Delta,Monitoring_Station_20,38.4089,87.3178,21.5,60,5.6,4.4,327,13
2027-03-24,2027,3,24,18,Monday,0,summer,Metropolis_Delta,Monitoring_Station_21,38.3722,87.3099,25.3,36,17.2,3.8,289,14
2022-05-14,2022,5,14,6,Thursday,0,summer,Metropolis_Alpha,Monitoring_Station_11,38.5535,87.2167,30.8,44,8.1,4.6,215,15
2024-01-07,2024,1,7,23,Friday,0,winter,Metropolis_Alpha,Monitoring_Station_12,38.5708,87.0712,12.3,52,5.8,2.9,385,16
2024-07-09,2024,7,9,12,Sunday,1,monsoon,Metropolis_Alpha,Monitoring_Station_05,38.6289,87.2414,39.0,94,16.5,11.8,59,17
2024-02-20,2024,2,20,12,Sunday,1,winter,Metropolis_Alpha,Monitoring_Station_03,38.6999,87.1653,21.2,46,8.0,2.5,344,18
2027-03-09,2027,3,9,12,Sunday,1,summer,Metropolis_Alpha,Monitoring_Station_04,38.7762,87.051,27.2,40,28.0,2.7,241,19
2022-06-13,2022,6,13,12,Saturday,1,monsoon,Metropolis_Delta,Monitoring_Station_20,38.4089,87.3178,42.8,68,22.3,4.1,130,20
2025-11-22,2025,11,22,6,Thursday,0,winter,Metropolis_Delta,Monitoring_Station_20,38.4089,87.3178,15.7,100,3.2,0.2,500,21
2024-05-29,2024,5,29,12,Monday,0,summer,Metropolis_Alpha,Monitoring_Station_06,38.6683,87.1311,43.3,37,27.8,7.7,190,22
2026-03-09,2026,3,9,23,Saturday,1,summer,Metropolis_Alpha,Monitoring_Station_01,38.6469,87.3164,25.6,27,11.4,3.9,309,23
2026-09-21,2026,9,21,23,Saturday,1,monsoon,Metropolis_Gamma,Monitoring_Station_19,38.423,87.047,30.8,74,8.9,9.0,87,24
2024-05-28,2024,5,28,23,Sunday,1,summer,Metropolis_Alpha,Monitoring_Station_13,38.6089,87.0327,39.2,31,13.8,5.1,111,25
2023-04-20,2023,4,20,12,Tuesday,0,summer,Metropolis_Alpha,Monitoring_Station_12,38.5708,87.0712,35.6,34,25.2,4.1,100,26
2023-08-11,2023,8,11,18,Wednesday,0,monsoon,Metropolis_Alpha,Monitoring_Station_07,38.5308,87.271,32.3,92,10.5,7.1,105,27
2025-02-23,2025,2,23,18,Friday,0,winter,Metropolis_Alpha,Monitoring_Station_04,38.7762,87.051,15.4,49,4.9,2.1,371,28
2025-01-10,2025,1,10,23,Wednesday,0,winter,Metropolis_Alpha,Monitoring_Station_04,38.7762,87.051,15.5,54,5.2,1.2,500,29
